Korridor 1,Korridor 2,Fahrten
BLS S41/S42 – Heimberg/Steffisburg,Spiez/Einigen (z.B. Bus 1),110.103383
Spiez/Einigen (z.B. Bus 1),BLS S41/S42 – Heimberg/Steffisburg,110.103383
Münsingen/Wichtrach (z.B. Bus M15),HUB – Thun Bahnhof,95.91172895
HUB – Thun Bahnhof,Münsingen/Wichtrach (z.B. Bus M15),95.91172895
BLS S1 – Freiburg/Fribourg ↔ Bern,Thunersee-Nordufer (z.B. Bus 21),94.69343907
Thunersee-Nordufer (z.B. Bus 21),BLS S1 – Freiburg/Fribourg ↔ Bern,94.69343907
BLS S44/S4 – Gürbetal/Seftigen,BLS S41/S42 – Heimberg/Steffisburg,94.38423229
BLS S41/S42 – Heimberg/Steffisburg,BLS S44/S4 – Gürbetal/Seftigen,94.38423229
Spiez/Einigen (z.B. Bus 1),SBB IC/EC/ICE – Spiez Brig Interlaken,94.25753949
SBB IC/EC/ICE – Spiez Brig Interlaken,Spiez/Einigen (z.B. Bus 1),94.25753949
Thunersee-Nordufer (z.B. Bus 21),BLS S44/S4 – Gürbetal/Seftigen,91.58141908
BLS S44/S4 – Gürbetal/Seftigen,Thunersee-Nordufer (z.B. Bus 21),91.58141908
HUB – Thun Bahnhof,BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),87.86558099
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),HUB – Thun Bahnhof,87.86558099
SBB IC/EC/ICE – Spiez Brig Interlaken,Blumenstein/Wattenwil (z.B. Bus 50/51),82.8258172
Blumenstein/Wattenwil (z.B. Bus 50/51),SBB IC/EC/ICE – Spiez Brig Interlaken,82.8258172
SBB IC/EC/ICE – Spiez Brig Interlaken,SBB IC/EC/ICE – Spiez Brig Interlaken,62.53695008
HUB – Thun Bahnhof,Steffisburg-Korridor (z.B. Bus 41/42/43),61.0781431
Steffisburg-Korridor (z.B. Bus 41/42/43),HUB – Thun Bahnhof,61.0781431
BLS S1 – Freiburg/Fribourg ↔ Bern,Blumenstein/Wattenwil (z.B. Bus 50/51),54.30602982
Blumenstein/Wattenwil (z.B. Bus 50/51),BLS S1 – Freiburg/Fribourg ↔ Bern,54.30602982
Blumenstein/Wattenwil (z.B. Bus 50/51),BLS S44/S4 – Gürbetal/Seftigen,51.25670446
BLS S44/S4 – Gürbetal/Seftigen,Blumenstein/Wattenwil (z.B. Bus 50/51),51.25670446
BLS S41/S42 – Heimberg/Steffisburg,BLS S1 – Freiburg/Fribourg ↔ Bern,49.55393492
BLS S1 – Freiburg/Fribourg ↔ Bern,BLS S41/S42 – Heimberg/Steffisburg,49.55393492
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),Stocken/Pohlern (z.B. Bus 3),46.31188094
Stocken/Pohlern (z.B. Bus 3),BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),46.31188094
Thunersee-Nordufer (z.B. Bus 21),BLS S41/S42 – Heimberg/Steffisburg,44.44191579
BLS S41/S42 – Heimberg/Steffisburg,Thunersee-Nordufer (z.B. Bus 21),44.44191579
Waldeck (z.B. Bus 4),SBB IC/EC/ICE – Spiez Brig Interlaken,43.08864467
SBB IC/EC/ICE – Spiez Brig Interlaken,Waldeck (z.B. Bus 4),43.08864467
BLS S1 – Freiburg/Fribourg ↔ Bern,BLS S44/S4 – Gürbetal/Seftigen,38.27226871
BLS S44/S4 – Gürbetal/Seftigen,BLS S1 – Freiburg/Fribourg ↔ Bern,38.27226871
Thunersee-Nordufer (z.B. Bus 21),Stocken/Pohlern (z.B. Bus 3),37.44864943
Stocken/Pohlern (z.B. Bus 3),Thunersee-Nordufer (z.B. Bus 21),37.44864943
BLS S41/S42 – Heimberg/Steffisburg,BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),36.74559789
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),BLS S41/S42 – Heimberg/Steffisburg,36.74559789
Stocken/Pohlern (z.B. Bus 3),Steffisburg-Korridor (z.B. Bus 41/42/43),34.21736975
Steffisburg-Korridor (z.B. Bus 41/42/43),Stocken/Pohlern (z.B. Bus 3),34.21736975
BLS S41/S42 – Heimberg/Steffisburg,Steffisburg-Korridor (z.B. Bus 41/42/43),29.81074675
Steffisburg-Korridor (z.B. Bus 41/42/43),BLS S41/S42 – Heimberg/Steffisburg,29.81074675
SBB IC/EC/ICE – Bern (z.B. Zürich),Waldeck (z.B. Bus 4),29.71911246
Waldeck (z.B. Bus 4),SBB IC/EC/ICE – Bern (z.B. Zürich),29.71911246
Thunersee-Nordufer (z.B. Bus 21),Spiez/Einigen (z.B. Bus 1),28.05079964
Spiez/Einigen (z.B. Bus 1),Thunersee-Nordufer (z.B. Bus 21),28.05079964
BLS S44/S4 – Gürbetal/Seftigen,BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),24.93068588
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),BLS S44/S4 – Gürbetal/Seftigen,24.93068588
HUB – Thun Bahnhof,HUB – Thun Bahnhof,24.75095323
Stocken/Pohlern (z.B. Bus 3),Spiez/Einigen (z.B. Bus 1),23.88446979
Spiez/Einigen (z.B. Bus 1),Stocken/Pohlern (z.B. Bus 3),23.88446979
BLS S1 – Freiburg/Fribourg ↔ Bern,Waldeck (z.B. Bus 4),22.69869371
Waldeck (z.B. Bus 4),BLS S1 – Freiburg/Fribourg ↔ Bern,22.69869371
SBB IC/EC/ICE – Bern (z.B. Zürich),Heiligenschwendi (z.B. Bus 31/32),20.35549207
Heiligenschwendi (z.B. Bus 31/32),SBB IC/EC/ICE – Bern (z.B. Zürich),20.35549207
Waldeck (z.B. Bus 4),HUB – Thun Bahnhof,18.85596187
HUB – Thun Bahnhof,Waldeck (z.B. Bus 4),18.85596187
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),Steffisburg-Korridor (z.B. Bus 41/42/43),18.25691286
Steffisburg-Korridor (z.B. Bus 41/42/43),BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),18.25691286
SBB IC/EC/ICE – Bern (z.B. Zürich),BLS S44/S4 – Gürbetal/Seftigen,17.67098672
BLS S44/S4 – Gürbetal/Seftigen,SBB IC/EC/ICE – Bern (z.B. Zürich),17.67098672
Blumenstein/Wattenwil (z.B. Bus 50/51),HUB – Thun Bahnhof,16.95010773
HUB – Thun Bahnhof,Blumenstein/Wattenwil (z.B. Bus 50/51),16.95010773
BLS S41/S42 – Heimberg/Steffisburg,Blumenstein/Wattenwil (z.B. Bus 50/51),15.34570496
Blumenstein/Wattenwil (z.B. Bus 50/51),BLS S41/S42 – Heimberg/Steffisburg,15.34570496
